CPU COOLER,PRICE,Inventory,cooler_fan_rpm,cooler_color
Noctua NH-U12S redux 70.75 CFM,19150,0,450 - 1700 RPM,Black
Deepcool ASSASSIN III 90.37 CFM,6650,0,400 - 1400 RPM,Black / Silver
Fractal Design Celsius S36 87.6 CFM Liquid,11500,0,500 - 2000 RPM,Black
EVGA CLC 280 113.5 CFM Liquid,27350,0,600 - 2200 RPM,Black
be quiet! Pure Rock Slim 35.14 CFM,17100,0,0,Black
NZXT Kraken X73 RGB 52.44 CFM Liquid,13350,0,500 - 1500 RPM,Black
Cooler Master i71C RGB 37 CFM Rifle Bearing,13350,0,650 - 1800 RPM,Black
Cooler Master MasterLiquid ML240 Illusion 47.2 CFM Liquid,28050,0,650 - 1800 RPM,Black
EK EK-AIO 280 D-RGB 116 CFM Liquid,28100,0,500 - 2000 RPM,Black / Translucent White
be quiet! Pure Rock Slim 2,21450,0,0,Black
Asus ROG RYUJIN 360 121.8 CFM Liquid,16300,0,450 - 2000 RPM,Black
Phanteks Glacier One 280MP 93.05 CFM Liquid,19800,0,500 - 2000 RPM,Black
Cooler Master Hyper N520 43.8 CFM Sleeve Bearing,8950,0,0,Black
CRYORIG H7 Quad Lumi 49 CFM,17350,0,330 - 1600 RPM,Black
Corsair H150i PRO 47.3 CFM Liquid,19000,0,1600 RPM,Black
Gigabyte AORUS ATC700 53 CFM,14650,0,500 - 1700 RPM,Black
Corsair A500 75 CFM,12000,0,2400 RPM,Black / Silver
EK EK-AIO Elite 360 D-RGB 66.04 CFM Liquid,28650,0,550 - 2200 RPM,Black
Cooler Master MasterLiquid ML360 Mirror Liquid,12900,0,650 - 1800 RPM,Black
AMD Wraith Max 55.78 CFM,5500,0,550 - 1700 RPM,Black
Corsair H100i v2 70.69 CFM Liquid,28550,0,2435 RPM,Black
Deepcool GAMERSTORM CAPTAIN 240PRO V2 69.34 CFM Liquid,11350,0,500 - 1800 RPM,Black
Deepcool GAMERSTORM CAPTAIN 240X WHITE 64.4 CFM Liquid,24700,0,500 - 1800 RPM,Black
Alpenföhn Glacier Water 280 103.3 CFM Liquid,12800,0,600 - 2500 RPM,Black
Thermaltake UX100 38.82 CFM,19650,0,1800 RPM,Black
Corsair H115i PRO 55.4 CFM Liquid,27050,0,1200 RPM,Black
Fractal Design Lumen S28 RGB 78 CFM Liquid,24150,0,500 - 1700 RPM,Black
Asus ROG STRIX LC 360 RGB White 80.95 CFM Liquid,11450,0,800 - 2500 RPM,Black
Deepcool AS500 Plus 70.81 CFM,2700,0,500 - 1200 RPM,Black
Cooler Master A71C 38.99 CFM,14450,0,650 - 1800 RPM,Black
Corsair iCUE H115i RGB Pro XT 63 CFM Liquid,11350,0,2200 RPM,Black
be quiet! Dark Rock 4,19150,0,1400 RPM,Black
Alphacool Eisbaer LT240 63.85 CFM Liquid,25000,0,550 - 1700 RPM,Black
Deepcool Castle 360 RGB 69.34 CFM Liquid,19850,0,500 - 1800 RPM,Black
ARCTIC Freezer 11 LP Fluid Dynamic Bearing,23900,0,900 - 2000 RPM,Black
Alpenföhn BLACK RIDGE 47.1 CFM,12500,0,600 - 2500 RPM,Black
Cooler Master Hyper 212 EVO V2 62 CFM,8550,0,650 - 1800 RPM,Black
CRYORIG C7G 40.5 CFM,17800,0,600 - 2500 RPM,Black / Silver
Fractal Design Celsius S24 Blackout 87.6 CFM Liquid,18000,0,500 - 2000 RPM,Black
Enermax Liqmax III 240 ARGB 72.1 CFM Liquid,14450,0,500 - 1600 RPM,Black
NZXT Kraken X62 Liquid,16200,0,500 - 1800 RPM,Black
be quiet! Shadow Rock 3,16600,0,0,Black
Noctua NH-U9S 46.44 CFM,19700,0,400 - 2000 RPM,Black
Corsair iCUE H170i ELITE CAPELLIX Liquid,11350,0,2000 RPM,Black
Enermax Liqfusion 360 62.1 CFM Liquid,12050,0,500 - 2000 RPM,Black
Cooler Master MasterLiquid ML240 Mirror Liquid,15450,0,650 - 1800 RPM,Black
Corsair H60 54 CFM Liquid,12350,0,1700 RPM,Black
CRYORIG H7 ULTRA 59 CFM,17800,0,300 - 1600 RPM,Black / Silver
Gigabyte AORUS WATERFORCE X 240 60.07 CFM Liquid,17900,0,800 - 2500 RPM,Black
Corsair H105 73 CFM Liquid,18550,0,800 - 2700 RPM,Black
Noctua NH-L9a-AM4 33.84 CFM,20450,0,600 - 2500 RPM,Black
be quiet! Pure Loop 120 Liquid,19750,0,0,Black
Thermalright Macho Rev.B 73.6 CFM,16150,0,300 - 1300 RPM,Black
Asus ROG STRIX LC 360 RGB 80.95 CFM Liquid,12150,0,800 - 2500 RPM,Black
Cooler Master MasterLiquid ML240R RGB 66.7 CFM Liquid,26050,0,650 - 2000 RPM,Black
Deepcool CAPTAIN 120EX WHITE 76.52 CFM Liquid,18100,0,500 - 1800 RPM,Black
Corsair H60 (2018) 57.2 CFM Liquid,20900,0,1700 RPM,Black
CRYORIG M9i 48.4 CFM,19100,0,600 - 2200 RPM,Black
Thermaltake Floe Riing RGB 360 TT Premium Edition 42.34 CFM Liquid,27700,0,500 - 1400 RPM,Black
Phanteks Glacier One 240MP 60.51 CFM Liquid,13100,0,500 - 2200 RPM,Black / White
Corsair iCUE H60i RGB PRO XT 75 CFM Liquid,12900,0,2400 RPM,Black
EK EK-AIO Basic 240 77 CFM Liquid,26250,0,550 - 2200 RPM,Black
Corsair H80i v2 70.69 CFM Liquid,27200,0,2435 RPM,Black
Phanteks Glacier One 360MP 60.51 CFM Liquid,15750,0,500 - 2200 RPM,Black
Cooler Master MasterLiquid ML120L RGB 66.7 CFM Liquid,19100,0,650 - 2000 RPM,Black
Noctua NH-U14S 82.52 CFM,21100,0,300 - 1500 RPM,Black
Gigabyte AORUS LIQUID COOLER 240 59.25 CFM Liquid,14250,0,2500 RPM,Black
Asus ROG Ryujin 240 RGB AIO 121.8 CFM Liquid,11350,0,450 - 2000 RPM,Black
Noctua NH-L9i 33.84 CFM,19750,0,600 - 2500 RPM,Black
Gigabyte AORUS LIQUID COOLER 280 100.16 CFM Liquid,23550,0,2300 RPM,Black
Scythe Big Shuriken 3 50.79 CFM,18050,0,300 - 1800 RPM,Black / Silver
Cooler Master MASTERAIR MA620M 57.3 CFM,5900,0,650 - 2000 RPM,Black
Corsair H75 54 CFM Liquid,23250,0,1900 RPM,Black
Deepcool CASTLE 240EX 64.4 CFM Liquid,13050,0,500 - 1800 RPM,Black
Rosewill RCX-Z90-CP 62.5 CFM Sleeve Bearing,21750,0,600 - 3000 RPM,Black
Corsair H50 57 CFM Liquid,21350,0,1700 RPM,Black
EK EK-AIO Basic 360 77 CFM Liquid,21850,0,550 - 2200 RPM,Black
Noctua NH-D9L 46.44 CFM,20150,0,400 - 2000 RPM,Black
Deepcool Castle 280 RGB 96.7 CFM Liquid,28300,0,500 - 1800 RPM,Black
Deepcool GAMMAXX 400 White 74.34 CFM,5000,0,900 - 1500 RPM,Black
EVGA CLC 240 74.82 CFM Liquid,17000,0,500 - 2400 RPM,Black
Cooler Master Hyper 212X Dual Fan 82.9 CFM,9200,0,2000 RPM,Black
Cooler Master Vortex Plus 54.8 CFM Sleeve Bearing,4850,0,800 - 2800 RPM,Black
be quiet! Dark Rock Pro 3 67.8 CFM Fluid Dynamic Bearing,14300,0,1400 - 1700 RPM,Black
Deepcool Castle 360 RGB V2 69.34 CFM Liquid,14750,0,500 - 1800 RPM,Black
Enermax Liqfusion 102.17 CFM Liquid,15950,0,500 - 2000 RPM,Black
Phanteks Glacier One 240MPH 60.51 CFM Liquid,22700,0,500 - 2200 RPM,White / Black
be quiet! Pure Rock 51.7 CFM Sleeve Bearing,14400,0,1500 RPM,Black
NZXT Kraken X72 Liquid,13050,0,500 - 2000 RPM,Black
Cooler Master MasterLiquid 240 66.7 CFM Liquid,15850,0,650 - 2000 RPM,Black
Cooler Master MasterLiquid Lite 240 66.7 CFM Liquid,22800,0,650 - 2000 RPM,Black
CRYORIG H5 Universal 65 CFM,18800,0,700 - 1300 RPM,Black
Scythe Ninja 5 43.03 CFM,19650,0,300 - 800 RPM,Black
Cooler Master MasterLiquid ML360R RGB 66.7 CFM Liquid,28500,0,650 - 2000 RPM,Black
Fractal Design Celsius S24 87.6 CFM Liquid,15150,0,500 - 2000 RPM,Black
Rosewill PB240 53.4 CFM Liquid,26700,0,600 - 1800 RPM,Black
aigo Shadow Max 29.3 CFM,6000,0,800 - 2500 RPM,Black
Thermaltake Water 3.0 360 ARGB Sync Edition 56.45 CFM Liquid,15500,0,500 - 1500 RPM,Black
ID-COOLING IS-50X 53.6 CFM,20800,0,600 - 1600 RPM,Black
Asus ROG RYUJIN II 360 71.6 CFM Liquid,27950,0,450 - 2000 RPM,Black
Deepcool CASTLE 280EX 97.03 CFM Liquid,19650,0,400 - 1600 RPM,Black
ID-COOLING AURAFLOW X 240 SNOW 74.5 CFM Liquid,18000,0,700 - 1800 RPM,Black
Cooler Master MasterAir G100M RGB 22.63 CFM,11400,0,600 - 2400 RPM,Black / Multicolor
Fractal Design Lumen S36 RGB 56 CFM Liquid,29200,0,500 - 2000 RPM,Black
Thermaltake Water 3.0 120 ARGB Sync 56.45 CFM Liquid,28700,0,500 - 1500 RPM,Black
Noctua NH-L12 37.79 CFM,15750,0,1200 - 1600 RPM,Black
Scythe Mugen 5 PCGH Edition 43.03 CFM,14850,0,300 - 800 RPM,Black
be quiet! Pure Loop 360 Liquid,22650,0,0,Black
Deepcool GAMMAXX L240 69.34 CFM Liquid,21600,0,500 - 1800 RPM,Black
Fractal Design Celsius+ S36 Prisma PWM ARGB 85.71 CFM Liquid,18500,0,500 - 2000 RPM,Black
Scythe Mugen 5 Black Edition 66.47 CFM,14250,0,300 - 1500 RPM,Black
Cooler Master V8 GTS 82 CFM,12900,0,1600 RPM,Black
ID-COOLING AURAFLOW X 360 74.5 CFM Liquid,20550,0,700 - 1800 RPM,Black
ID-COOLING ZOOMFLOW 360X SNOW 62 CFM Liquid,26450,0,700 - 1500 RPM,Black
ARCTIC Freezer 7 X,27050,0,300 - 2000 RPM,Black
Cooler Master Hyper H411R 34.1 CFM,11800,0,600 - 2000 RPM,Black / Silver
Cooler Master MasterLiquid ML240P Mirage 60.95 CFM Liquid,24400,0,2000 RPM,Black
Deepcool CASTLE 360EX WHITE 64.4 CFM Liquid,29900,0,500 - 1800 RPM,White / Black
Swiftech H240-X 90 CFM Liquid,17850,0,700 - 1800 RPM,Black
ID-COOLING SE-234-ARGB 56.5 CFM,20000,0,900 - 2000 RPM,Black
ARCTIC Alpine 12,1850,0,100 - 2000 RPM,Black
be quiet! Pure Rock 2,16250,0,1500 RPM,Black
Gigabyte AORUS WATERFORCE X 360 60.07 CFM Liquid,23750,0,800 - 2500 RPM,Black
NZXT Kraken X61 106.1 CFM Liquid,20050,0,800 - 2000 RPM,Black
Thermaltake Floe Riing RGB 280 TT Premium Edition 63.19 CFM Liquid,15950,0,500 - 1400 RPM,Black
Cooler Master DK9-7E52A-0L-GP,11650,0,3200 RPM,Black
Cooltek LP53,19350,0,1000 - 2100 RPM,Black
Thermalright Peerless Assassin 120 66.17 CFM,19800,0,1550 RPM,Black
Cooler Master MasterLiquid ML360 Illusion 47.2 CFM Liquid,24200,0,650 - 1800 RPM,Black
Cooler Master MasterLiquid ML360 RGB TR4 Edition 66.7 CFM Liquid,22750,0,650 - 2000 RPM,Black
Antec Neptune 240 ARGB 77 CFM Liquid,25000,0,900 - 1600 RPM,Black
be quiet! Dark Rock 3 67.8 CFM Fluid Dynamic Bearing,17450,0,400 - 1400 RPM,Black
NoFan CR-80EH Fanless,19950,0,0,Black
Gigabyte GP-ATC800 51.7 CFM,20750,0,600 - 2000 RPM,Black
be quiet! Pure Loop 240 Liquid,26950,0,0,Black
Noctua NH-D15 SE-AM4 82.52 CFM,14850,0,1200 - 1500 RPM,Black
Antec Mercury 360 RGB 73.31 CFM Liquid,26000,0,900 - 1800 RPM,Black
ID-COOLING SE-914-XT Basic 45.8 CFM,19800,0,600 - 2200 RPM,Black
Fractal Design Celsius+ S28 Dynamic X2 PWM 85.71 CFM Liquid,18250,0,500 - 1700 RPM,Black
Scythe Shuriken 2 41.3 CFM,14450,0,300 - 2500 RPM,Black / Silver
ARCTIC Liquid Freezer II 360 RGB 48.8 CFM Liquid,24500,0,200 - 1800 RPM,Black
Noctua NH-U12P SE2 54.36 CFM,21300,0,900 - 1300 RPM,Black
Corsair H100i GTX 70.69 CFM Liquid,14850,0,2435 RPM,Black
Deepcool GAMMAXX GT A-RGB 64.5 CFM,3950,0,500 - 1650 RPM,Black
Cooler Master MasterAir MA410M 53.38 CFM,9600,0,650 - 1800 RPM,Black
Thermaltake UX200 ARGB 43.34 CFM,21700,0,300 - 1500 RPM,Black
Thermaltake Floe Riing RGB 240 TT Premium Edition 42.34 CFM Liquid,28500,0,500 - 1400 RPM,Black
Corsair H80i GT 70.69 CFM Liquid,11050,0,2435 RPM,Black
Cooler Master MasterAir MA620P 53.4 CFM,5650,0,600 - 1800 RPM,Black
Thermaltake NiC C5 99.1 CFM,18800,0,1000 - 2000 RPM,Black
Fractal Design Celsius S36 Blackout 87.6 CFM Liquid,25350,0,500 - 2000 RPM,Black
Alphacool Eisbaer 240 63.85 CFM Liquid,18000,0,550 - 1700 RPM,Black
Cooler Master MasterLiquid LC240E RGB 76.4 CFM Liquid,25400,0,650 - 1800 RPM,Black
Cooler Master Hyper 212 LED Turbo (Black) 66.3 CFM,8400,0,600 - 1600 RPM,Black
Corsair H115i 104.65 CFM Liquid,25600,0,2000 RPM,Black
Deepcool NEPTWIN WHITE 74.34 CFM,5250,0,900 - 1500 RPM,White
ID-COOLING IS-40X 44.3 CFM,19450,0,600 - 2500 RPM,Black
Noctua NH-L12S 55.44 CFM,21350,0,450 - 1850 RPM,Black
EK EK-AIO 120 D-RGB 66.04 CFM Liquid,26650,0,450 - 2600 RPM,Black
ARCTIC Freezer 34 CO,23900,0,200 - 1800 RPM,Black
Deepcool CASTLE 240EX WHITE 64.4 CFM Liquid,22050,0,500 - 1800 RPM,White / Black
Deepcool GAMMAXX 400S 50.8 CFM,3150,0,1300 RPM,Black / Silver
Deepcool GAMMAXX 400 74.34 CFM,2600,0,900 - 1600 RPM,Black
Silverstone PF360-ARGB 94 CFM Liquid,25200,0,600 - 2200 RPM,Black
Deepcool GAMMAXX 300 55.5 CFM,7250,0,900 - 1600 RPM,Black
ID-COOLING SE-914-XT ARGB 45.8 CFM,18200,0,600 - 2200 RPM,Black / Gray
Cooler Master Hyper 212 Plus 76.8 CFM Sleeve Bearing,8300,0,600 - 2000 RPM,Black
Enermax ETS-N31-02 32.8 CFM,15450,0,800 - 2000 RPM,Black / Silver
Cougar Helor 360 78.4 CFM Liquid,17700,0,600 - 1800 RPM,Black
CRYORIG M9 Plus 48.4 CFM,17050,0,600 - 2200 RPM,Black
Alpenföhn Brocken 3 60.62 CFM,6000,0,600 - 2500 RPM,Black
Asus ROG RYUO 240 RGB 80.95 CFM Liquid,20550,0,800 - 2500 RPM,Black
Cooler Master MasterAir MA610P 53.38 CFM,9100,1,1800 RPM,Black
Deepcool CAPTAIN 240EX WHITE 153.04 CFM Liquid,26500,1,500 - 1800 RPM,Black
Deepcool CASTLE 360EX RGB 60.6 CFM Liquid,22050,1,500 - 1800 RPM,Black
Noctua NH-U12S TR4-SP3 54.97 CFM,14100,1,300 - 1500 RPM,Black
MSI CORE FROZR L 71.27 CFM,14950,1,500 - 1800 RPM,Black
be quiet! Silent Loop 2 360 73.33 CFM Liquid,25750,1,2200 RPM,Black
MSI MPG CoreLiquid K240 77.4 CFM Liquid,15800,1,0,Black
ID-COOLING ZOOMFLOW 240 55.2 CFM Liquid,18300,1,900 - 2000 RPM,Black
Vetroo V240 52 CFM Liquid,20550,1,1800 RPM,Black
Noctua NH-L9x65 33.84 CFM,16450,1,600 - 2500 RPM,Black
Fractal Design Celsius+ S24 Dynamic X2 PWM 87.6 CFM Liquid,28200,1,500 - 2000 RPM,Black
Deepcool NEPTWIN V2.0 53.65 CFM,7250,1,1300 RPM,Black
be quiet! Shadow Rock 2 51.4 CFM Rifle Bearing,15100,1,1600 RPM,Black
Antec Kuhler H2O 620 Liquid,18000,1,1450 - 2000 RPM,Black
Cooler Master Hyper 412S 52.6 CFM,14200,1,900 - 1300 RPM,Black
NZXT Kraken X52 Rev 2 73.11 CFM Liquid,17200,1,500 - 2000 RPM,Black
Thermaltake Contac Silent 12 74.33 CFM,21750,1,400 - 1500 RPM,Black
Corsair H110 94 CFM Liquid,20850,1,1500 RPM,Black
ARCTIC Freezer 7 X CO,21050,1,300 - 2000 RPM,Black
Corsair H100i 77 CFM Liquid,13700,1,2700 RPM,Black
EK EK-AIO Elite 280 D-RGB 116 CFM Liquid,16350,1,550 - 2200 RPM,Black
Enermax AQUAFUSION 360 79.8 CFM Liquid,12850,1,500 - 2000 RPM,Black
Noctua NH-U14S TR4-SP3 82.52 CFM,17850,1,300 - 1500 RPM,Black
ARCTIC Freezer 34 eSports,22800,1,200 - 2100 RPM,Black
be quiet! Pure Loop 280 Liquid,12700,1,0,Black
Cooler Master Hyper 103 43.1 CFM,14200,1,800 - 2200 RPM,Black
Swiftech H220-X 55 CFM Liquid,15800,1,800 - 1800 RPM,Black
Alpenföhn Glacier Water 240 54.5 CFM Liquid,14000,1,600 - 2500 RPM,Black
Noctua NH-P1 Fanless,14050,1,0,Black
Cooler Master Hyper TX3 54.8 CFM Sleeve Bearing,7000,1,800 - 2800 RPM,Black
be quiet! Dark Rock TF 2,15450,1,1400 RPM,Black
Cooler Master MasterLiquid ML280 Mirror Liquid,19100,1,650 - 1400 RPM,Black
CRYORIG C1 65 CFM,20500,1,700 - 1300 RPM,Black
NZXT Kraken X42 Liquid,13350,1,500 - 1800 RPM,Black
be quiet! Silent Loop 2 240 73.33 CFM Liquid,29700,1,2200 RPM,Black
Alpenföhn Olymp 72.61 CFM,4900,1,600 - 2500 RPM,Black
Scythe FUMA 79 CFM,18350,1,300 - 1200 RPM,Black / Silver
be quiet! Shadow Rock Slim 67.8 CFM Rifle Bearing,19900,1,1400 RPM,Black
Gigabyte AORUS LIQUID COOLER 360 59.25 CFM Liquid,18250,1,2500 RPM,Black
RAIJINTEK JUNO PRO RBW 35.8 CFM,19900,1,400 - 1800 RPM,Black
Thermaltake Gravity i2 31.34 CFM,17000,1,1800 RPM,Black
Deepcool CASTLE 120R 66.4 CFM Liquid,15300,1,500 - 1800 RPM,Black
be quiet! Shadow Rock LP 51.4 CFM,16300,1,1500 RPM,Black
CRYORIG C7 Cu 40.5 CFM,14100,1,600 - 2500 RPM,Black
ARESGAME RIVER 5 69.74 CFM,20400,1,600 - 1800 RPM,Black
In Win SR36 101.5 CFM Liquid,18150,1,500 - 2500 RPM,Black
CRYORIG R1 Universal 76 CFM,18000,1,700 - 1300 RPM,Black
Deepcool GAMMAXX L120 69.34 CFM Liquid,28700,1,500 - 1800 RPM,Black
Thermaltake CL-P0497 49.2 CFM Rifle Bearing,21200,1,2500 RPM,Black
SilentiumPC Fera 3 RGB HE1224,14150,1,500 - 1600 RPM,Black
ID-COOLING ZOOMFLOW 240X ARGB 62 CFM Liquid,22550,1,700 - 1500 RPM,Black
Deepcool CAPTAIN 120 EX 76.52 CFM Liquid,15700,1,500 - 1800 RPM,Black
Asus ROG RYUO 120 RGB 80.95 CFM Liquid,22300,1,800 - 2500 RPM,Black
Thermaltake TH240 ARGB Sync 59.28 CFM Liquid,12850,1,1500 RPM,Black
Thermaltake Riing Silent 12 RGB Sync Edition 53 CFM,15800,1,300 - 1500 RPM,Black
NZXT Kraken X63 RGB 91.19 CFM Liquid,25250,1,500 - 1500 RPM,Black
ARCTIC Alpine 12 LP,2500,1,100 - 2000 RPM,Black
Thermalright Macho X2 Limited Edition,19400,1,800 RPM,Black
be quiet! Dark Rock Pro TR4 59.5 CFM,15500,1,1200 - 1500 RPM,Black
Deepcool GAMMAXX GT TGA 56.5 CFM,8250,1,500 - 1500 RPM,Black
ID-COOLING AURAFLOW 240 SNOW 74.5 CFM Liquid,26200,1,700 - 1800 RPM,Black
Asus ROG Strix LC 360 80.95 CFM Liquid,25200,1,800 - 2500 RPM,Black
Phanteks PH-TC14PE_BK 78.1 CFM,14650,1,900 - 1200 RPM,Black
Zalman CNPS8900 Quiet,16150,1,1000 - 1500 RPM,Black
Noctua NH-L9x65 SE-AM4,18250,1,600 - 2500 RPM,Black
CRYORIG A40 83 CFM Liquid,28050,1,600 - 2200 RPM,Black
EVGA CLC 120 74.82 CFM Liquid,15800,1,500 - 2400 RPM,Black
Thermaltake Water 3.0 Performer C + LNC 81.32 CFM Liquid,21950,1,1200 - 2000 RPM,Black
Gelid Solutions Phantom Black,20150,1,750 - 1600 RPM,Black / Silver
ADATA XPG LEVANTE 240 61.5 CFM Liquid,23400,1,600 - 2000 RPM,Black
Thermaltake Water 3.0 240 ARGB Sync 56.45 CFM Liquid,19400,1,500 - 1500 RPM,Black
Noctua NH-U9B SE2 37.86 CFM,15600,1,1000 - 1600 RPM,Black
Xigmatek Dark Knight II SD1283 89.45 CFM,21050,1,1000 - 2200 RPM,Black
Deepcool GAMMAXX 400 V2 64.5 CFM,3100,1,500 - 1650 RPM,Black
upHere CCF150RD 49.7 CFM,14200,1,600 - 1800 RPM,Black
RAIJINTEK EOS 240 RBW 75 CFM Liquid,21050,1,800 - 1800 RPM,Black
MSI MPG CORELIQUID K360 77.4 CFM Liquid,12500,1,0,Black
Alphacool EISBAER LT120 63.85 CFM Liquid,21500,1,550 - 1700 RPM,Black
ID-COOLING FROSTFLOW X 240 74.5 CFM Liquid,25050,1,700 - 1800 RPM,Black
Thermaltake TH120 ARGB Sync 59.28 CFM Liquid,21400,1,1500 RPM,Black
NoFan CR-95C Fanless,17000,1,0,Black
Deepcool GAMMAXX GTE 56.5 CFM,4000,1,500 - 1500 RPM,Black
Enermax Aquafusion 240 79.8 CFM Liquid,12450,1,500 - 2000 RPM,Black
Cooler Master MasterAir MA410P 66.7 CFM,6950,1,650 - 2000 RPM,Black
Rosewill PB120 53.4 CFM Liquid,21950,1,600 - 1800 RPM,Black
Alphacool Eisbaer 360 63.85 CFM Liquid,20000,1,550 - 1700 RPM,Black
Fractal Design Celsius+ S24 Prisma PWM ARGB 85.71 CFM Liquid,16350,1,500 - 2000 RPM,Black
Cooler Master Hyper 212X 82.9 CFM,10950,1,600 - 2000 RPM,Black
Alphacool Eisbaer Aurora 420 41.8 CFM Liquid,24000,1,600 - 1500 RPM,Black
ARCTIC Freezer 33 eSports ONE (Black/Green),28650,1,200 - 1800 RPM,Black
Deepcool Gammaxx L360 V2 69.34 CFM Liquid,17250,1,500 - 1800 RPM,Black / White
Deepcool THETA 20 PWM 42.76 CFM,6150,1,900 - 2400 RPM,Black
Aerocool Cylon 4 52.5 CFM,9000,1,800 - 1800 RPM,Black
ID-COOLING IS-60 53.6 CFM,19950,1,600 - 1600 RPM,Black
Antec KUHLER H2O 1250 98 CFM Liquid,9000,1,600 - 2400 RPM,Black
Jonsbo CR-201 HIVES (White) 40 CFM,20050,1,800 - 1600 RPM,Black
GAMDIAS CHIONE P1A-360R 55 CFM Liquid,14300,1,800 - 1500 RPM,Black
CRYORIG A80 128 CFM Liquid,22450,1,600 - 1850 RPM,Black
EVGA ACX mITX 46.5 CFM Sleeve Bearing,17700,1,800 - 2800 RPM,Black
be quiet! Dark Rock TF 67.8 CFM Fluid Dynamic Bearing,14950,1,1400 RPM,Black
Thermalright AXP-100 Full Copper,19950,1,900 - 2500 RPM,Orange
Zalman CNPS16X 49 CFM,18800,1,800 - 1500 RPM,Black
ID-COOLING FROSTFLOW+ 240 SNOW 62 CFM Liquid,20200,1,700 - 1500 RPM,White
Enermax AQUAFUSION 79.8 CFM Liquid,18450,1,500 - 2000 RPM,Black
ARCTIC Freezer 34,24100,1,200 - 1800 RPM,Black
SilentiumPC Fortis 3 RGB HE1425,16150,1,500 - 1400 RPM,Black
Cooler Master Nepton 240M 76 CFM Liquid,11800,1,2400 RPM,Black
Antec A30 36 CFM,6000,1,1750 RPM,Black
darkFlash Shadow PWM 29.3 CFM,15650,1,800 - 2500 RPM,Black
Corsair H110i 113 CFM Liquid,13300,1,2100 RPM,Black
ARCTIC Freezer 33 eSports ONE (Black/Yellow),26700,1,200 - 1800 RPM,Black
Scythe Mugen 5 66.47 CFM,20700,1,300 - 1500 RPM,Black
ARCTIC Liquid Freezer II 240 RGB 48.8 CFM Liquid,25450,1,200 - 1800 RPM,Black
Cooler Master Wraith Ripper 76.4 CFM,14150,1,0,Black
NZXT Kraken X31 69.5 CFM Liquid,17350,1,800 - 2000 RPM,Black
Cooler Master GeminII S524 Ver 2 65 CFM,10700,1,2000 RPM,Black
Silverstone AR06 40.2 CFM,19850,1,2500 RPM,Black
Enermax Liqmax II 120 96 CFM Liquid,27850,1,500 - 2000 RPM,Black
Enermax Liqtech II 360 102.17 CFM Liquid,28950,1,500 - 2300 RPM,Black
RAIJINTEK Orcus 360 RGW 35.8 CFM Liquid,18050,1,400 - 1800 RPM,Black
CRYORIG C7 RGB 40.5 CFM,21700,1,600 - 2500 RPM,White
NZXT HAVIK 120 75.8 CFM,21600,1,1200 - 1500 RPM,Black
Rosewill PB240-RGB 35.2 CFM Liquid,13400,1,1500 RPM,Black
ARCTIC Alpine 12 Passive Fanless,2300,1,0,Black
NZXT Kraken X42 Rev 2 98.17 CFM Liquid,15050,1,500 - 1800 RPM,Black
Thermaltake Water 3.0 Riing RGB 240 40.6 CFM Liquid,16900,1,800 - 1500 RPM,Black
Cooler Master MasterAIR G200P 35.5 CFM,7600,1,800 - 2000 RPM,Black / Silver
