Video Card,Video Card Price,gpu_chipset,gpu_memory,gpu_core_clock,gpu_boostclock,gpu_color
NVIDIA GeForce RTX 3070 Ti 8 GB Founders Edition,178000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1770 MHz,Black
Palit GeForce RTX 3090 24 GB GamingPro OC,365000,GeForce RTX 3090,24 GB,1395 MHz,1725 MHz,Black / Silver
Zotac GeForce RTX 3070 8 GB GAMING Twin Edge OC,159000,GeForce RTX 3070,8 GB,1500 MHz,1755 MHz,Black
Sapphire Radeon RX 6900 XT 16 GB Toxic Extreme Edition,356000,Radeon RX 6900 XT,16 GB,1825 MHz,2525 MHz,Black
EVGA GeForce RTX 3070 Ti 8 GB FTW3 ULTRA GAMING,178000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1860 MHz,Black
MSI GeForce RTX 3070 8 GB SUPRIM,165200,GeForce RTX 3070,8 GB,1500 MHz,1845 MHz,Black / Silver
EVGA GeForce RTX 3060 12 GB XC GAMING,130000,GeForce RTX 3060,12 GB,1320 MHz,1882 MHz,Black
Sapphire Radeon RX 5500 XT 4 GB PULSE,50000,Radeon RX 5500 XT,4 GB,1607 MHz,1845 MHz,Black
PNY GeForce RTX 3070 8 GB XLR8 Gaming REVEL EPIC-X RGB,154000,GeForce RTX 3070,8 GB,1500 MHz,1725 MHz,Black / Silver
EVGA GeForce GTX 1080 Ti 11 GB FTW3 HYBRID GAMING,189200,GeForce GTX 1080 Ti,11 GB,1569 MHz,1683 MHz,Black
EVGA GeForce RTX 3080 10 GB XC3 ULTRA HYBRID GAMING,212000,GeForce RTX 3080 10GB LHR,10 GB,1440 MHz,1755 MHz,Black
Asus GeForce GTX 1070 Ti 8 GB ROG STRIX,110000,GeForce GTX 1070 Ti,8 GB,1607 MHz,1759 MHz,Black
MSI GeForce RTX 3080 Ti 12 GB GAMING X TRIO,213000,GeForce RTX 3080 Ti,12 GB,1365 MHz,1770 MHz,Black / Silver
Asus GeForce GTX 1080 Ti 11 GB STRIX GAMING,185000,GeForce GTX 1080 Ti,11 GB,1493 MHz,1632 MHz,Black
Zotac GeForce GTX 1650 SUPER 4 GB GAMING Twin Fan,66000,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1725 MHz,Black
Asus GeForce GTX 1650 SUPER 4 GB TUF GAMING OC,70000,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1800 MHz,Black
EVGA GeForce GTX 1650 SUPER 4 GB SC ULTRA GAMING,77000,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1755 MHz,Black
MSI GeForce GTX 1650 SUPER 4 GB GAMING X,79500,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1755 MHz,Black / Silver
EVGA GeForce RTX 3080 10 GB XC3 ULTRA GAMING,212000,GeForce RTX 3080 10GB LHR,10 GB,1440 MHz,1755 MHz,Black
EVGA GeForce GTX 1660 6 GB XC BLACK GAMING,79000,GeForce GTX 1660,6 GB,1530 MHz,1785 MHz,Black
Gigabyte GeForce GTX 1080 Ti 11 GB GAMING,188000,GeForce GTX 1080 Ti,11 GB,1518 MHz,1657 MHz,White / Orange
MSI GeForce RTX 2060 6 GB VENTUS XS OC,89000,GeForce RTX 2060,6 GB,1365 MHz,1710 MHz,Silver / Black
MSI GeForce RTX 2080 8 GB DUKE,159500,GeForce RTX 2080,8 GB,1515 MHz,1845 MHz,Black
EVGA GeForce RTX 3060 Ti 8 GB FTW3 ULTRA GAMING iCX3,155000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1800 MHz,Black
MSI GeForce RTX 3080 10 GB VENTUS 3X OC,215000,GeForce RTX 3080 10GB,10 GB,1440 MHz,Black,305 mm
XFX Radeon RX 6600 XT 8 GB Speedster QICK 308 Black,98500,Radeon RX 6600 XT,8 GB,2188 MHz,2607 MHz,Black
MSI GeForce GTX 1060 6GB 6 GB GAMING X,70000,GeForce GTX 1060 6GB,6 GB,1506 MHz,1809 MHz,Black / Red
MSI GeForce GTX 1660 6 GB GAMING X,76000,GeForce GTX 1660,6 GB,1530 MHz,1860 MHz,Black
PowerColor Radeon RX 6700 XT 12 GB Fighter,122500,Radeon RX 6700 XT,12 GB,2321 MHz,2581 MHz,Black
EVGA GeForce RTX 2060 6 GB KO ULTRA GAMING,94000,GeForce RTX 2060,6 GB,1365 MHz,1755 MHz,Black
Gigabyte GeForce RTX 3080 Ti 12 GB EAGLE,262000,GeForce RTX 3080 Ti,12 GB,1365 MHz,1770 MHz,Black
PNY GeForce RTX 3060 Ti 8 GB XLR8 Gaming REVEL EPIC-X RGB,152000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1665 MHz,Black
EVGA GeForce RTX 2080 Ti 11 GB Black,241250,GeForce RTX 2080 Ti,11 GB,1350 MHz,1545 MHz,Black / Clear
MSI GeForce RTX 3090 24 GB VENTUS 3X OC,362000,GeForce RTX 3090,24 GB,1395 MHz,Black,305 mm
NVIDIA GeForce RTX 3090 24 GB Founders Edition,365000,GeForce RTX 3090,24 GB,1395 MHz,1695 MHz,Black / Silver
EVGA GeForce RTX 3070 8 GB XC3 ULTRA GAMING,162000,GeForce RTX 3070,8 GB,1500 MHz,1770 MHz,Black / Silver
Gigabyte GeForce RTX 3080 10 GB Vision OC,210500,GeForce RTX 3080 10GB,10 GB,1440 MHz,1800 MHz,Silver / White
Asus GeForce GT 1030 2 GB Phoenix Fan OC,30000,GeForce GT 1030,2 GB,1278 MHz,1531 MHz,Black / Blue
Asus GeForce RTX 3070 Ti 8 GB TUF GAMING OC,175000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1815 MHz,Black / Silver
Sapphire Radeon RX 570 4 GB PULSE,35000,Radeon RX 570,4 GB,1168 MHz,1284 MHz,Black
Asus Radeon RX 6600 XT 8 GB ROG STRIX GAMING OC,99000,Radeon RX 6600 XT,8 GB,1968 MHz,2607 MHz,Black / Gray
MSI Radeon RX 6600 XT 8 GB GAMING X,95000,Radeon RX 6600 XT,8 GB,1968 MHz,2607 MHz,Black / Silver
Asus GeForce GTX 980 Ti 6 GB STRIX,50000,GeForce GTX 980 Ti,6 GB,1216 MHz,1317 MHz,Black / Red
Gigabyte GeForce RTX 3060 Ti 8 GB GAMING OC,168000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1740 MHz,Black / Silver
MSI GeForce RTX 3090 24 GB SUPRIM X,360000,GeForce RTX 3090,24 GB,1395 MHz,1875 MHz,Silver
Zotac GeForce GTX 1060 6GB 6 GB AMP,66000,GeForce GTX 1060 6GB,6 GB,1556 MHz,1771 MHz,Black / Silver
Asus GeForce RTX 3060 Ti  8 GB ROG STRIX GAMING OC V2,192000,GeForce RTX 3060 Ti LHR,8 GB,1410 MHz,1890 MHz,Black / Silver
NVIDIA GeForce RTX 3070 8 GB Founders Edition,171000,GeForce RTX 3070,8 GB,1500 MHz,1730 MHz,Black
Gigabyte GeForce RTX 3080 10 GB AORUS MASTER,230000,GeForce RTX 3080 10GB,10 GB,1440 MHz,Black,319 mm
Asus Radeon RX 5700 XT 8 GB STRIX GAMING OC,72000,Radeon RX 5700 XT,8 GB,1770 MHz,2035 MHz,Black
Gigabyte Radeon RX 5700 XT 8 GB GAMING OC,75000,Radeon RX 5700 XT,8 GB,1650 MHz,1905 MHz,Black
EVGA GeForce GTX 1080 8 GB SC2 Gaming iCX,119000,GeForce GTX 1080,8 GB,1708 MHz,1847 MHz,White / Black
NVIDIA GeForce RTX 3080 Ti 12 GB Founders Edition,268000,GeForce RTX 3080 Ti,12 GB,1370 MHz,1670 MHz,Silver / Black
Sapphire Radeon RX 580 4 GB NITRO+,35000,Radeon RX 580,4 GB,1257 MHz,1411 MHz,Black / Silver
Sapphire Radeon R9 280 3 GB Dual-X,26000,Radeon R9 280,3 GB,850 MHz,940 MHz,Black / Silver
Zotac GeForce RTX 3080 Ti 12 GB GAMING Trinity OC,262600,GeForce RTX 3080 Ti,12 GB,1365 MHz,1695 MHz,Black / Silver
EVGA GeForce RTX 3080 Ti 12 GB FTW3 ULTRA GAMING LE iCX3,260500,GeForce RTX 3080 Ti,12 GB,1365 MHz,1800 MHz,Black
Asus GeForce RTX 3080 10 GB STRIX GAMING OC,217000,GeForce RTX 3080 10GB,10 GB,1440 MHz,1935 MHz,Black
Asus GeForce GTX 1650 SUPER 4 GB TUF GAMING,70000,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1755 MHz,Black
Gigabyte GeForce RTX 3060 Ti 8 GB GAMING OC PRO,173000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1770 MHz,Black / Silver
PowerColor Radeon RX 6900 XT 16 GB Red Devil Ultimate,380000,Radeon RX 6900 XT,16 GB,1825 MHz,2425 MHz,Black
Gainward GeForce RTX 3080 Ti 12 GB Phoenix,259800,GeForce RTX 3080 Ti,12 GB,1365 MHz,1665 MHz,Silver / Black
Gigabyte GeForce GTX 1050 2 GB OC,26500,GeForce GTX 1050,2 GB,1379 MHz,1518 MHz,Black / Orange
MSI Radeon RX 6700 XT 12 GB MECH 2X,115800,Radeon RX 6700 XT,12 GB,2321 MHz,Black / Silver,247 mm
PowerColor Radeon RX 6800 XT 16 GB Red Devil OC,186500,Radeon RX 6800 XT,16 GB,1825 MHz,2340 MHz,Black
Gigabyte GeForce RTX 3060 Ti 8 GB Vision OC,173000,GeForce RTX 3060 Ti,8 GB,1665 MHz,1755 MHz,Silver / White
Asus GeForce RTX 3080 Ti 12 GB TUF GAMING OC,261000,GeForce RTX 3080 Ti,12 GB,1365 MHz,1695 MHz,Black
NVIDIA GeForce RTX 3080 10 GB Founders Edition,225400,GeForce RTX 3080 10GB,10 GB,1440 MHz,1710 MHz,Black
Gigabyte GeForce RTX 3070 Ti 8 GB GAMING OC,175000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1830 MHz,Black / Silver
Gigabyte GeForce RTX 3080 Ti 12 GB Vision OC,251500,GeForce RTX 3080 Ti,12 GB,1365 MHz,1770 MHz,White / Silver
Zotac GeForce GTX 1060 6GB 6 GB MINI,60500,GeForce GTX 1060 6GB,6 GB,1506 MHz,1708 MHz,Black / Gray
NVIDIA GeForce RTX 3060 Ti 8 GB Founders Edition,198000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1670 MHz,Black / Silver
Gigabyte Radeon RX 6800 XT 16 GB AORUS MASTER,185900,Radeon RX 6800 XT,16 GB,1825 MHz,2310 MHz,Black
EVGA GeForce GTX 1080 Ti 11 GB SC2,182500,GeForce GTX 1080 Ti,11 GB,1556 MHz,1670 MHz,Silver
EVGA GeForce RTX 3090 24 GB FTW3 ULTRA GAMING,339000,GeForce RTX 3090,24 GB,1395 MHz,1800 MHz,Black
EVGA GeForce RTX 3080 10 GB FTW3 ULTRA GAMING,212000,GeForce RTX 3080 10GB,10 GB,1440 MHz,1800 MHz,Black
EVGA GeForce RTX 3070 8 GB FTW3 GAMING,162000,GeForce RTX 3070,8 GB,1500 MHz,1770 MHz,Black / Silver
Zotac GeForce RTX 3060 12 GB GAMING AMP,115000,GeForce RTX 3060,12 GB,1320 MHz,1867 MHz,White
Gigabyte GeForce GTX 1650 G5 4 GB OC Low Profile,55000,GeForce GTX 1650 G5,4 GB,1485 MHz,1695 MHz,Black
Palit GeForce GTX 1050 Ti 4 GB KalmX,44500,GeForce GTX 1050 Ti,4 GB,1290 MHz,1392 MHz,Silver
EVGA GeForce GTX 1080 8 GB FTW2 DT Gaming iCX,115000,GeForce GTX 1080,8 GB,1607 MHz,1733 MHz,Black / Gray
Asus GeForce GTX 1660 SUPER 6 GB TUF GAMING OC,89000,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1845 MHz,Black
Gigabyte GeForce RTX 3080 10 GB AORUS XTREME,213500,GeForce RTX 3080 10GB,10 GB,1710 MHz,1905 MHz,Black / Silver
Asus GeForce GTX 1660 Ti 6 GB TUF OC,102500,GeForce GTX 1660 Ti,6 GB,1500 MHz,1830 MHz,Black / Gray
MSI GeForce GTX 1660 Ti 6 GB GAMING X,115000,GeForce GTX 1660 Ti,6 GB,1500 MHz,1875 MHz,Black
Gigabyte GeForce RTX 3060 12 GB AORUS ELITE,129600,GeForce RTX 3060,12 GB,1320 MHz,1867 MHz,Black
XFX Radeon RX 590 8 GB FATBOY OC+,65000,Radeon RX 590,8 GB,1580 MHz,1600 MHz,Black / Red
Asus GeForce RTX 3080 Ti 12 GB ROG STRIX GAMING OC,261000,GeForce RTX 3080 Ti,12 GB,1365 MHz,1845 MHz,Black / Silver
Asus GeForce RTX 3080 10 GB ROG STRIX WHITE OC,216000,GeForce RTX 3080 10GB,10 GB,1440 MHz,1935 MHz,White
MSI GeForce RTX 3070 8 GB SUPRIM X,168000,GeForce RTX 3070,8 GB,1500 MHz,1920 MHz,Black / Silver
MSI Radeon RX 580 8 GB ARMOR OC,65000,Radeon RX 580,8 GB,1257 MHz,1366 MHz,Black / White
MSI Radeon R9 390 8 GB GAMING LE,61000,Radeon R9 390,8 GB,1050 MHz,1100 MHz,Black / Red
EVGA GeForce RTX 2080 SUPER 8 GB XC ULTRA GAMING,193500,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1845 MHz,Transparent / Black
Zotac GeForce RTX 3060 12 GB GAMING Twin Edge OC,118000,GeForce RTX 3060,12 GB,1320 MHz,1807 MHz,Black
MSI GeForce GTX 1650 G5 4 GB VENTUS XS OC,76500,GeForce GTX 1650 G5,4 GB,1485 MHz,1740 MHz,Black / White
ASRock Radeon RX 5700 8 GB Challenger D OC,180000,Radeon RX 5700,8 GB,1515 MHz,1750 MHz,Black / Yellow
Sapphire Radeon RX 580 8 GB NITRO+,65000,Radeon RX 580,8 GB,1257 MHz,1411 MHz,Black
MSI GeForce RTX 2070 SUPER 8 GB VENTUS OC,140000,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1785 MHz,Black / Silver
Asus GeForce RTX 3080 10 GB TUF GAMING OC,217000,GeForce RTX 3080 10GB,10 GB,1440 MHz,Black,299.9 mm
Sapphire Radeon RX 6700 XT 12 GB PULSE,109850,Radeon RX 6700 XT,12 GB,2321 MHz,2581 MHz,Black
Gigabyte GeForce RTX 3070 8 GB Vision OC,164500,GeForce RTX 3070,8 GB,1500 MHz,1815 MHz,Silver
Asus GeForce RTX 3090 24 GB STRIX GAMING OC,345000,GeForce RTX 3090,24 GB,1395 MHz,1890 MHz,Black
Asus GeForce GTX 1060 6GB 6 GB ROG STRIX,58000,GeForce GTX 1060 6GB,6 GB,1506 MHz,1708 MHz,Black
Asus GeForce RTX 3060 12 GB Phoenix,120000,GeForce RTX 3060,12 GB,1320 MHz,1807 MHz,Black
MSI GeForce GTX 1070 Ti 8 GB ARMOR,118000,GeForce GTX 1070 Ti,8 GB,1607 MHz,1683 MHz,Black / White
PowerColor Radeon RX 5700 XT 8 GB Red Devil,78000,Radeon RX 5700 XT,8 GB,1605 MHz,1905 MHz,Black / Red
Gigabyte Radeon RX 590 8 GB GAMING 8G,70000,Radeon RX 590,8 GB,1469 MHz,1560 MHz,Black / Orange
Gigabyte GeForce RTX 3070 8 GB AORUS MASTER,160000,GeForce RTX 3070,8 GB,1500 MHz,1845 MHz,Black
EVGA GeForce GTX 750 Ti 2 GB Superclocked,22000,GeForce GTX 750 Ti,2 GB,1176 MHz,1255 MHz,Black / Silver
EVGA GeForce GTX 1080 8 GB FTW2 GAMING iCX,115000,GeForce GTX 1080,8 GB,1721 MHz,1860 MHz,Black / Gray
Zotac GeForce RTX 3080 10 GB GAMING AMP Holo,215000,GeForce RTX 3080 10GB,10 GB,1440 MHz,1770 MHz,Black
MSI GeForce RTX 3070 8 GB VENTUS 3X OC,168000,GeForce RTX 3070,8 GB,1500 MHz,1755 MHz,Black / Silver
Asus GeForce RTX 2060 6 GB DUAL EVO OC,93000,GeForce RTX 2060,6 GB,1365 MHz,1785 MHz,Black
MSI GeForce RTX 3080 Ti 12 GB VENTUS 3X,259800,GeForce RTX 3080 Ti,12 GB,1365 MHz,1665 MHz,Black / Silver
EVGA GeForce RTX 3060 Ti 8 GB FTW3 GAMING iCX3,155000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1710 MHz,Black
EVGA GeForce GTX 1070 Ti 8 GB FTW2 GAMING iCX,115000,GeForce GTX 1070 Ti,8 GB,1607 MHz,1683 MHz,Black / Silver
Gigabyte GeForce GTX 1080 Ti 11 GB AORUS XTREME,188000,GeForce GTX 1080 Ti,11 GB,1607 MHz,1746 MHz,Black / Silver
MSI GeForce RTX 3060 Ti 8 GB VENTUS 2X OC,180000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1695 MHz,Black / Silver
Asus Radeon R9 270X 2 GB DirectCU II,22500,Radeon R9 270X,2 GB,1120 MHz,Black / Red,271 mm
Zotac GeForce GTX 1050 2 GB MINI,39800,GeForce GTX 1050,2 GB,1354 MHz,1455 MHz,Black
PowerColor Radeon RX 6700 XT 12 GB Red Devil,115600,Radeon RX 6700 XT,12 GB,2321 MHz,2622 MHz,Black
EVGA GeForce RTX 2070 8 GB Black,135000,GeForce RTX 2070,8 GB,1410 MHz,1620 MHz,Clear / Black
Asus GeForce RTX 3080 10 GB TUF GAMING,217000,GeForce RTX 3080 10GB,10 GB,1440 MHz,1740 MHz,Black
GALAX GeForce GTX 1650 SUPER 4 GB EX,74500,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1740 MHz,Black
Zotac GeForce GTX 1660 SUPER 6 GB GAMING Twin Fan,97500,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1785 MHz,Black
EVGA GeForce RTX 3070 8 GB FTW3 ULTRA GAMING,162000,GeForce RTX 3070,8 GB,1500 MHz,1815 MHz,Black / Silver
MSI GeForce GTX 1660 SUPER 6 GB VENTUS XS OC,93500,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1815 MHz,Black / Silver
Gigabyte GeForce RTX 3070 8 GB GAMING OC,160000,GeForce RTX 3070,8 GB,1500 MHz,1815 MHz,Black / Silver
Gigabyte GeForce GTX 1660 SUPER 6 GB GAMING OC,88500,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1860 MHz,Black / Silver
EVGA GeForce RTX 3070 Ti 8 GB XC3 ULTRA GAMING,178000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1815 MHz,Black
EVGA GeForce GTX 1060 3GB 3 GB SC GAMING,35000,GeForce GTX 1060 3GB,3 GB,1607 MHz,1835 MHz,Black
XFX Radeon RX 6700 XT 12 GB Speedster QICK 319 BLACK,112350,Radeon RX 6700 XT,12 GB,2457 MHz,2622 MHz,Black
MSI GeForce RTX 3060 Ti 8 GB GAMING X,180000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1770 MHz,Black / Silver
PowerColor Radeon RX 590 8 GB Red Devil,15000,Radeon RX 590,8 GB,1469 MHz,1576 MHz,Black / Red
Asus GeForce RTX 3060 Ti 8 GB TUF GAMING OC,187000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1785 MHz,Black
Gigabyte GeForce GTX 1060 6GB 6 GB WINDFORCE OC,66500,GeForce GTX 1060 6GB,6 GB,1582 MHz,1797 MHz,Black / Red
XFX Radeon RX 570 4 GB RS XXX,28000,Radeon RX 570,4 GB,1168 MHz,1284 MHz,Black / Red
EVGA GeForce RTX 3080 Ti 12 GB FTW3 ULTRA GAMING,256850,GeForce RTX 3080 Ti,12 GB,1365 MHz,1800 MHz,Black
Asus GeForce RTX 2070 SUPER 8 GB STRIX GAMING Advanced,144000,GeForce RTX 2070 SUPER,8 GB,1635 MHz,1830 MHz,Black
EVGA GeForce GTX 1060 3GB 3 GB GAMING,35000,GeForce GTX 1060 3GB,3 GB,1506 MHz,1708 MHz,Black
EVGA GeForce RTX 3060 Ti 8 GB XC GAMING,155000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1710 MHz,Black
XFX Radeon RX 6800 XT 16 GB Speedster MERC 319 CORE,199500,Radeon RX 6800 XT,16 GB,1825 MHz,2250 MHz,Black / Silver
MSI GeForce RTX 3060 12 GB GAMING X,135000,GeForce RTX 3060,12 GB,1320 MHz,1837 MHz,Black / Silver
MSI GeForce GTX 1660 6 GB VENTUS XS OC,82000,GeForce GTX 1660,6 GB,1530 MHz,1830 MHz,Black / White
EVGA GeForce GTX 1660 Ti 6 GB XC BLACK GAMING,107500,GeForce GTX 1660 Ti,6 GB,1500 MHz,1770 MHz,189.89 mm
Gigabyte Radeon RX 6700 XT 12 GB GAMING OC,118950,Radeon RX 6700 XT,12 GB,2321 MHz,Black / Silver,281 mm
Sapphire Radeon RX 6600 XT 8 GB NITRO+,91500,Radeon RX 6600 XT,8 GB,1968 MHz,2607 MHz,Black / Silver
MSI GeForce RTX 3070 8 GB GAMING X TRIO,163500,GeForce RTX 3070,8 GB,1500 MHz,1830 MHz,Black / Silver
EVGA GeForce GTX 980 Ti 6 GB Superclocked+ ACX 2.0+,55000,GeForce GTX 980 Ti,6 GB,1102 MHz,1190 MHz,Black / Silver
Sapphire Radeon RX 5600 XT 6 GB PULSE,58000,Radeon RX 5600 XT,6 GB,1247 MHz,1750 MHz,Black / Red
EVGA GeForce RTX 2080 SUPER 8 GB BLACK GAMING,189450,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1815 MHz,Black
MSI GeForce GTX 980 4 GB GAMING,35000,GeForce GTX 980,4 GB,1152 MHz,1253 MHz,Black / Red
Sapphire Radeon RX 6900 XT 16 GB NITRO+ SE,359000,Radeon RX 6900 XT,16 GB,1825 MHz,2365 MHz,Black / White
Zotac GeForce RTX 3080 Ti 12 GB GAMING Trinity,260000,GeForce RTX 3080 Ti,12 GB,1365 MHz,1665 MHz,Black / Silver
MSI GeForce RTX 3060 Ti 8 GB GAMING X TRIO,180000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1830 MHz,Black / Silver
Gigabyte GeForce RTX 3060 Ti 8 GB EAGLE OC,168000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1695 MHz,Black
MSI Radeon RX 570 8 GB GT OC,32000,Radeon RX 570,8 GB,1168 MHz,1256 MHz,Black
Zotac GeForce RTX 3070 Ti 8 GB GAMING Trinity,180000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1770 MHz,Black / Silver
Sapphire Radeon RX 6800 16 GB PULSE,182500,Radeon RX 6800,16 GB,1700 MHz,Black / Red,303 mm
Asus Radeon RX 6900 XT 16 GB STRIX LC GAMING OC,182000,Radeon RX 6900 XT,16 GB,1950 MHz,2365 MHz,Black / Gray
MSI GeForce RTX 3060 Ti 8 GB VENTUS 3X OC,180000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1695 MHz,Black / Silver
Asus GeForce RTX 3070 8 GB ROG STRIX GAMING OC,164000,GeForce RTX 3070,8 GB,1500 MHz,1905 MHz,Black
