monitor_name,Monitor Price,monitor_rating,monitor_screen_size,monitor_resolution,monitor_refresh_rate,monitor_panel_type,monitor_aspect_ratio,Inventory
MSI Optix G27C4,51000,4,"27.0""",1920 x 1080,165 Hz,VA,16:09,1
Asus VG248QE,54000,4,"24.0""",1920 x 1080,144 Hz,N/A,16:09,1
LG 27GL850-B,100000,4,"27.0""",2560 x 1440,144 Hz,IPS,16:09,1
Gigabyte G27QC,69500,4,"27.0""",2560 x 1440,165 Hz,VA,16:09,1
LG 32GK650F-B,74500,4,"32.0""",2560 x 1440,144 Hz,VA,16:09,1
MSI Optix MAG27CQ,92000,4,"27.0""",2560 x 1440,144 Hz,VA,16:09,1
Asus TUF GAMING VG259Q,67000,4,"24.5""",1920 x 1080,144 Hz,IPS,16:09,1
Asus ROG Swift PG32UQX,530000,0,"32.0""",3840 x 2160,144 Hz,IPS,16:09,1
Asus VG248QG,48000,4,"24.0""",1920 x 1080,165 Hz,TN,16:09,1
AOC 24G2,33500,4,"23.8""",1920 x 1080,144 Hz,IPS,16:09,1
MSI Optix MPG341CQR,305000,4,"34.0""",3440 x 1440,144 Hz,VA,21:09,1
Samsung LC27G55TQWNXZA,65000,4,"27.0""",2560 x 1440,144 Hz,VA,16:09,1
MSI Optix G24C4,74000,5,"23.6""",1920 x 1080,144 Hz,VA,16:09,1
LG 34GP83A-B,148000,5,"34.0""",3440 x 1440,144 Hz,IPS,21:09,1
LG 27GN800-B,75000,0,"27.0""",2560 x 1440,144 Hz,IPS,16:09,1
Samsung C24RG50,28000,4,"23.5""",1920 x 1080,144 Hz,VA,16:09,1
LG UltraGear 38GN950-B,410000,4,"38.0""",3840 x 1600,160 Hz,IPS,12:05,1
Dell S2721DGF,69000,4,"27.0""",2560 x 1440,165 Hz,IPS,16:09,1
Acer KG241Q Sbiip,30000,0,"23.6""",1920 x 1080,165 Hz,TN,16:09,1
Acer XV272U Pbmiiprzx,55000,4,"27.0""",2560 x 1440,144 Hz,IPS,16:09,1
Gigabyte G27FC,55000,5,"27.0""",1920 x 1080,165 Hz,VA,16:09,1
LG UltraGear 27GN95B-B,325000,0,"27.0""",3840 x 2160,144 Hz,IPS,16:09,1
LG 27GN950-B,148500,4,"27.0""",3840 x 2160,144 Hz,IPS,16:09,1
Philips 242E1GSJ,31000,5,"23.8""",1920 x 1080,144 Hz,VA,16:09,1
Asus VG278QR,82000,4,"27.0""",1920 x 1080,165 Hz,TN,16:09,1
Acer VG270 Pbiip,60000,4,"27.0""",1920 x 1080,144 Hz,IPS,16:09,1
Acer XF250Q Cbmiiprx,50000,4,"24.5""",1920 x 1080,240 Hz,TN,16:09,1
MSI Optix G32C4,55000,4,"31.5""",1920 x 1080,165 Hz,VA,16:09,1
Acer VG270U Pbmiipx,74000,4,"27.0""",2560 x 1440,144 Hz,IPS,16:09,1
Gigabyte G32QC,70000,4,"31.5""",2560 x 1440,165 Hz,N/A,16:09,1
Alienware AW2721D,153000,5,"27.0""",2560 x 1440,240 Hz,IPS,16:09,1
AOC 24G2U/BK,70000,4,"24.0""",1920 x 1080,144 Hz,IPS,16:09,1
AOC 27G2,65000,5,"27.0""",1920 x 1080,144 Hz,IPS,16:09,1
MSI Optix G242,55000,5,"23.8""",1920 x 1080,144 Hz,IPS,16:09,1
Asus ROG Strix XG279Q,112000,5,"27.0""",2560 x 1440,170 Hz,IPS,16:09,1
Asus ROG Swift PG259QN,140000,5,"24.5""",1920 x 1080,360 Hz,IPS,16:09,1
LG 24GL600F-B,50000,4,"23.6""",1920 x 1080,144 Hz,TN,16:09,1
BenQ ZOWIE XL2411P,52000,4,"24.0""",1920 x 1080,144 Hz,TN,16:09,1
Asus TUF Gaming VG27AQ,83500,4,"27.0""",2560 x 1440,165 Hz,IPS,16:09,1
Dell S2721DGF,69000,4,"27.0""",2560 x 1440,165 Hz,IPS,16:09,0
Asus TUF Gaming VG27AQ,83500,4,"27.0""",2560 x 1440,165 Hz,IPS,16:09,0
BenQ ZOWIE XL2411P,52000,4,"24.0""",1920 x 1080,144 Hz,TN,16:09,0
BenQ Zowie XL2546K,120000,5,"24.5""",1920 x 1080,240 Hz,TN,16:09,0
Gigabyte G27FC,55000,5,"27.0""",1920 x 1080,165 Hz,VA,16:09,0
LG 34GN850-B,165000,5,"34.0""",3440 x 1440,160 Hz,IPS,21:09,0
Samsung LC27G55TQWNXZA,65000,4,"27.0""",2560 x 1440,144 Hz,VA,16:09,0
LG UltraGear 38GN950-B,410000,4,"38.0""",3840 x 1600,160 Hz,IPS,12:05,0
AOC C24G1,39000,4,"24.0""",1920 x 1080,144 Hz,VA,16:09,0
AOC 24G2,33500,4,"23.8""",1920 x 1080,144 Hz,IPS,16:09,0
LG 34GP83A-B,148000,5,"34.0""",3440 x 1440,144 Hz,IPS,21:09,0
LG 24GN650-B,43000,0,"24.0""",1920 x 1080,144 Hz,IPS,16:09,0
Asus VG245H,140000,4,"24.0""",1920 x 1080,75 Hz,TN,16:09,0
Gigabyte G32QC,70000,4,"31.5""",2560 x 1440,165 Hz,N/A,16:09,0
LG 27GL650F-B,69000,4,"27.0""",1920 x 1080,144 Hz,IPS,16:09,0
Acer KG241Q Sbiip,30000,0,"23.6""",1920 x 1080,165 Hz,TN,16:09,0
VIOTEK GFV22CB,25000,5,"22.0""",1920 x 1080,144 Hz,VA,16:09,0
Dell S2721DGF,140000,4,"27.0""",2560 x 1440,165 Hz,IPS,16:09,0
Acer VG270 Pbiip,60000,4,"27.0""",1920 x 1080,144 Hz,IPS,16:09,0
LG 24GL600F-B,50000,4,"23.6""",1920 x 1080,144 Hz,TN,16:09,0
Asus VG248QE,54000,4,"24.0""",1920 x 1080,144 Hz,N/A,16:09,0
MSI Optix MAG272CQR,73500,5,"27.0""",2560 x 1440,165 Hz,VA,16:09,0
LG 27GP950-B,167000,0,"27.0""",3840 x 2160,160 Hz,IPS,16:09,0
Asus ROG Swift PG32UQX,530000,0,"32.0""",3840 x 2160,144 Hz,IPS,16:09,0
MSI Optix MPG341CQR,305000,4,"34.0""",3440 x 1440,144 Hz,VA,21:09,0
MSI Optix G27C4,51000,4,"27.0""",1920 x 1080,165 Hz,VA,16:09,0
Asus ROG SWIFT PG27UQ,215000,4,"27.0""",3840 x 2160,144 Hz,IPS,16:09,0
Philips 242E1GSJ,31000,5,"23.8""",1920 x 1080,144 Hz,VA,16:09,0
MSI Optix MAG27CQ,92000,4,"27.0""",2560 x 1440,144 Hz,VA,16:09,0
Acer XV240Y Pbmiiprx,47500,4,"23.8""",1920 x 1080,165 Hz,IPS,16:09,0
Dell S2719DGF,69000,4,"27.0""",2560 x 1440,155 Hz,TN,16:09,0
Asus VG248QG,48000,4,"24.0""",1920 x 1080,165 Hz,TN,16:09,0
Asus VG278QR,82000,4,"27.0""",1920 x 1080,165 Hz,TN,16:09,0
Acer VG270U Pbmiipx,74000,4,"27.0""",2560 x 1440,144 Hz,IPS,16:09,0
Acer Nitro VG272 Xbmiipx,50000,0,"27.0""",1920 x 1080,240 Hz,IPS,16:09,0
Samsung C24RG50,28000,4,"23.5""",1920 x 1080,144 Hz,VA,16:09,0
MSI Optix G271,69000,4,"27.0""",1920 x 1080,144 Hz,IPS,16:09,0
LG 27GN800-B,75000,0,"27.0""",2560 x 1440,144 Hz,IPS,16:09,0
Asus TUF GAMING VG259Q,67000,4,"24.5""",1920 x 1080,144 Hz,IPS,16:09,0
Gigabyte G27QC,69500,4,"27.0""",2560 x 1440,165 Hz,VA,16:09,0
LG 27GL850-B,100000,4,"27.0""",2560 x 1440,144 Hz,IPS,16:09,0
LG 27GL83A-B,70500,4,"27.0""",2560 x 1440,144 Hz,IPS,16:09,0
HP OMEN X Emperium 65,1580000,0,"65.0""",3840 x 2160,144 Hz,VA,16:09,0
MSI Optix MAG274QRF,87500,5,"27.0""",2560 x 1440,165 Hz,IPS,16:09,0
Asus TUF GAMING VG32VQ,78000,4,"31.5""",2560 x 1440,144 Hz,VA,16:09,0
AOC 24G2U/BK,70000,4,"24.0""",1920 x 1080,144 Hz,IPS,16:09,0
Asus TUF GAMING VG249Q,50000,4,"23.8""",1920 x 1080,144 Hz,IPS,16:09,0
AOC G2490VX,35000,0,"23.8""",1920 x 1080,144 Hz,VA,16:09,0
MSI Optix G32C4,55000,4,"31.5""",1920 x 1080,165 Hz,VA,16:09,0
Sceptre E255B-1658A,46500,4,"24.5""",1920 x 1080,165 Hz,TN,16:09,0
AOC 27G2,65000,5,"27.0""",1920 x 1080,144 Hz,IPS,16:09,0
LG 27GN950-B,148500,4,"27.0""",3840 x 2160,144 Hz,IPS,16:09,0
MSI Optix G241,35000,4,"23.8""",1920 x 1080,144 Hz,IPS,16:09,0
LG 27GP850-B,92500,0,"27.0""",2560 x 1440,165 Hz,IPS,16:09,0
MSI Optix G242,55000,5,"23.8""",1920 x 1080,144 Hz,IPS,16:09,0
Asus VG278Q,56000,4,"27.0""",1920 x 1080,144 Hz,TN,16:09,0
MSI Optix G24C4,74000,5,"23.6""",1920 x 1080,144 Hz,VA,16:09,0
Gigabyte G34WQC,83500,5,"34.0""",3440 x 1440,144 Hz,VA,21:09,0
MSI Optix MAG241C,82000,4,"23.6""",1920 x 1080,144 Hz,VA,16:09,0
LG 32GK650F-B,74500,4,"32.0""",2560 x 1440,144 Hz,VA,16:09,0
LG UltraGear 27GN95B-B,325000,0,"27.0""",3840 x 2160,144 Hz,IPS,16:09,0
Gigabyte G27Q,76000,4,"27.0""",2560 x 1440,144 Hz,IPS,16:09,0
Asus ROG Swift PG65UQ,1220000,0,"64.5""",3840 x 2160,144 Hz,VA,16:09,0
Acer XV272U Pbmiiprzx,55000,4,"27.0""",2560 x 1440,144 Hz,IPS,16:09,0
Asus VG245H,51500,4,"24.0""",1920 x 1080,75 Hz,TN,16:09,0
Asus TUF Gaming VG24VQ,46500,5,"23.6""",1920 x 1080,144 Hz,VA,16:09,0
Acer R240HY bidx,35000,4,"23.8""",1920 x 1080,60 Hz,IPS,16:09,0
Acer SB220Q bi,25000,4,"21.5""",1920 x 1080,75 Hz,IPS,16:09,0
