Memory,Memory Price,ram_speed,ram_modules,ram_color,Inventoiry
Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3200 CL16,25000,DDR4-3200,2 x 16 GB,Black,1
Corsair Vengeance LPX 32 GB (4 x 8 GB) DDR4-3200 CL16,40000,DDR4-3200,4 x 8 GB,Black / Yellow,1
Team T-Force Delta RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,19500,DDR4-3600,2 x 8 GB,White,1
Corsair Dominator Platinum RGB 32 GB (4 x 8 GB) DDR4-3600 CL16,59500,DDR4-3600,4 x 8 GB,Black,1
G.Skill Trident Z 16 GB (2 x 8 GB) DDR4-3600 CL15,21000,DDR4-3600,2 x 8 GB,Black,1
Corsair Vengeance RGB Pro 32 GB (4 x 8 GB) DDR4-3600 CL18,38500,DDR4-3600,4 x 8 GB,Black,1
G.Skill Ripjaws V 32 GB (2 x 16 GB) DDR4-3600 CL16,35000,DDR4-3600,2 x 16 GB,Black,1
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3600 CL18,18500,DDR4-3600,2 x 8 GB,Black,1
Corsair Vengeance RGB Pro 32 GB (4 x 8 GB) DDR4-3200 CL16,37000,DDR4-3200,4 x 8 GB,Black,1
Crucial Ballistix 16 GB (2 x 8 GB) DDR4-3200 CL16,19500,DDR4-3200,2 x 8 GB,Black,1
G.Skill Trident Z RGB 32 GB (2 x 16 GB) DDR4-3600 CL16,46000,DDR4-3600,2 x 16 GB,Black,1
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3200 CL16,16000,DDR4-3200,2 x 8 GB,Black / Yellow,1
G.Skill Trident Z 16 GB (2 x 8 GB) DDR4-3200 CL14,18500,DDR4-3200,2 x 8 GB,Silver / White,1
G.Skill Trident Z 32 GB (2 x 16 GB) DDR4-3200 CL14,39000,DDR4-3200,2 x 16 GB,Silver / White,1
G.Skill Trident Z Neo 32 GB (2 x 16 GB) DDR4-3600 CL16,32000,DDR4-3600,2 x 16 GB,Black / Silver,1
Corsair Vengeance RGB RS 16 GB (2 x 8 GB) DDR4-3200 CL16,14500,DDR4-3200,2 x 8 GB,Black / Gray,1
Crucial CT2K16G4DFD8266 32 GB (2 x 16 GB) DDR4-2666 CL19,33500,DDR4-2666,2 x 16 GB,Black,1
Team T-FORCE VULCAN Z 32 GB (2 x 16 GB) DDR4-3600 CL18,30000,DDR4-3600,2 x 16 GB,Black,1
G.Skill Trident Z RGB 32 GB (2 x 16 GB) DDR4-3200 CL16,45000,DDR4-3200,2 x 16 GB,Black,1
G.Skill Trident Z Neo 32 GB (4 x 8 GB) DDR4-3600 CL16,53500,DDR4-3600,4 x 8 GB,Silver / Black,1
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3200 CL16,16500,DDR4-3200,2 x 8 GB,Black,1
Corsair Dominator Platinum RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,24000,DDR4-3600,2 x 8 GB,Black,1
Crucial Ballistix 16 GB (2 x 8 GB) DDR4-3600 CL16,20000,DDR4-3600,2 x 8 GB,Black,1
Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3600 CL18,29000,DDR4-3600,2 x 16 GB,Black,1
Corsair Dominator Platinum RGB 32 GB (2 x 16 GB) DDR5-5200 CL38,69000,DDR5-5200,2 x 16 GB,Black,1
G.Skill Trident Z Neo 16 GB (2 x 8 GB) DDR4-3600 CL16,20500,DDR4-3600,2 x 8 GB,Black / Silver,1
G.Skill Trident Z RGB 32 GB (2 x 16 GB) DDR4-3200 CL14,43000,DDR4-3200,2 x 16 GB,Black,1
G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,30000,DDR4-3600,2 x 8 GB,Black,1
Corsair Dominator Platinum 16 GB (2 x 8 GB) DDR4-3200 CL16,23000,DDR4-3200,2 x 8 GB,Black,1
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL18,29500,DDR4-3600,2 x 16 GB,Black / Yellow,1
G.Skill Trident Z 16 GB (2 x 8 GB) DDR4-3200 CL16,19500,DDR4-3200,2 x 8 GB,Black / White,1
Corsair Dominator Platinum RGB 32 GB (4 x 8 GB) DDR4-3600 CL18,61000,DDR4-3600,4 x 8 GB,White,1
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3200 CL16,27500,DDR4-3200,2 x 16 GB,Black / Yellow,1
Corsair Vengeance RGB Pro 64 GB (4 x 16 GB) DDR4-3600 CL18,56000,DDR4-3600,4 x 16 GB,Black,1
G.Skill Trident Z Neo 32 GB (2 x 16 GB) DDR4-3600 CL18,34000,DDR4-3600,2 x 16 GB,Black / Silver,1
Team T-Force XTREEM ARGB 32 GB (2 x 16 GB) DDR4-3600 CL18,31000,DDR4-3600,2 x 16 GB,White,1
Kingston HyperX Predator RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,17500,DDR4-3200,2 x 8 GB,Black,1
ADATA XPG GAMMIX D20 32 GB (2 x 16 GB) DDR4-3200 CL16,18500,DDR4-3200,2 x 16 GB,Black,1
Corsair Dominator Platinum RGB 32 GB (4 x 8 GB) DDR4-3600 CL18,61000,DDR4-3600,4 x 8 GB,White,0
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3200 CL16,16000,DDR4-3200,2 x 8 GB,Black / Yellow,0
G.Skill Trident Z 16 GB (2 x 8 GB) DDR4-3600 CL16,21500,DDR4-3600,2 x 8 GB,Black / White,0
G.Skill Trident Z Neo 16 GB (2 x 8 GB) DDR4-3600 CL16,20500,DDR4-3600,2 x 8 GB,Black / Silver,0
Corsair Vengeance RGB Pro 32 GB (4 x 8 GB) DDR4-3200 CL16,37000,DDR4-3200,4 x 8 GB,Black,0
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3600 CL18,18500,DDR4-3600,2 x 8 GB,Black,0
Corsair Dominator Platinum RGB 32 GB (2 x 16 GB) DDR5-5200 CL38,69000,DDR5-5200,2 x 16 GB,Black,0
Silicon Power SU016GXLZU320BDAJ6 16 GB (2 x 8 GB) DDR4-3200 CL16,15000,DDR4-3200,2 x 8 GB,Black,0
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3200 CL16,16500,DDR4-3200,2 x 8 GB,Black,0
G.Skill Trident Z Royal 32 GB (2 x 16 GB) DDR4-4000 CL18,50500,DDR4-4000,2 x 16 GB,Silver,0
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL18,29500,DDR4-3600,2 x 16 GB,Black / Yellow,0
PNY XLR8 16 GB (2 x 8 GB) DDR4-3200 CL16,16500,DDR4-3200,2 x 8 GB,Black,0
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-2666 CL16,33000,DDR4-2666,2 x 16 GB,Black / Yellow,0
G.Skill Trident Z Neo 64 GB (4 x 16 GB) DDR4-3600 CL16,72500,DDR4-3600,4 x 16 GB,Black / Silver,0
Corsair Vengeance LPX 32 GB (4 x 8 GB) DDR4-3600 CL18,42000,DDR4-3600,4 x 8 GB,Black / Yellow,0
G.Skill Trident Z 16 GB (2 x 8 GB) DDR4-3200 CL16,19500,DDR4-3200,2 x 8 GB,Black / White,0
G.Skill Trident Z Neo 32 GB (4 x 8 GB) DDR4-3600 CL16,53500,DDR4-3600,4 x 8 GB,Silver / Black,0
Crucial Ballistix 16 GB (2 x 8 GB) DDR4-2400 CL16,18000,DDR4-2400,2 x 8 GB,Black,0
G.Skill Trident Z RGB 32 GB (2 x 16 GB) DDR4-3600 CL16,46000,DDR4-3600,2 x 16 GB,Black,0
Corsair Vengeance RGB Pro SL 16 GB (2 x 8 GB) DDR4-3600 CL18,16500,DDR4-3600,2 x 8 GB,Black,0
Corsair Vengeance 16 GB (2 x 8 GB) DDR3-1600 CL9,16000,DDR3-1600,2 x 8 GB,Black / Yellow,0
G.Skill Ripjaws V 16 GB (2 x 8 GB) DDR4-3600 CL16,22500,DDR4-3600,2 x 8 GB,Black,0
Corsair Dominator Platinum RGB 32 GB (2 x 16 GB) DDR4-3200 CL16,34000,DDR4-3200,2 x 16 GB,Black,0
Crucial Ballistix 16 GB (2 x 8 GB) DDR4-3600 CL16,20000,DDR4-3600,2 x 8 GB,Black,0
Crucial Ballistix RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,16000,DDR4-3200,2 x 8 GB,Black,0
Corsair Vengeance LED 16 GB (2 x 8 GB) DDR4-3000 CL15,16000,DDR4-3000,2 x 8 GB,Black,0
Team T-Force XTREEM ARGB 16 GB (2 x 8 GB) DDR4-3600 CL18,19000,DDR4-3600,2 x 8 GB,White,0
Patriot Viper 4 Blackout 32 GB (2 x 16 GB) DDR4-3600 CL18,28000,DDR4-3600,2 x 16 GB,Black,0
G.Skill Ripjaws V Series 16 GB (2 x 8 GB) DDR4-3200 CL16,19000,DDR4-3200,2 x 8 GB,Black,0
Crucial Ballistix 32 GB (2 x 16 GB) DDR4-3200 CL16,25000,DDR4-3200,2 x 16 GB,Black,0
Crucial Ballistix RGB 16 GB (2 x 8 GB) DDR4-3600 CL16,18500,DDR4-3600,2 x 8 GB,Black,0
Crucial Ballistix 16 GB (2 x 8 GB) DDR4-2666 CL16,18500,DDR4-2666,2 x 8 GB,Red,0
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3600 CL18,19000,DDR4-3600,2 x 8 GB,Black,0
G.Skill Trident Z RGB 32 GB (4 x 8 GB) DDR4-3200 CL16,56000,DDR4-3200,4 x 8 GB,Black,0
Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3600 CL18,29000,DDR4-3600,2 x 16 GB,Black,0
G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3200 CL14,24000,DDR4-3200,2 x 8 GB,Black,0
G.Skill Trident Z Royal 32 GB (2 x 16 GB) DDR4-3600 CL19,48500,DDR4-3600,2 x 16 GB,Silver,0
Team T-FORCE VULCAN Z 64 GB (2 x 32 GB) DDR4-3200 CL16,60000,DDR4-3200,2 x 32 GB,Gray,0
Team T-Force Delta RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,17000,DDR4-3200,2 x 8 GB,Black,0
G.Skill Trident Z Neo 32 GB (2 x 16 GB) DDR4-3600 CL16,32000,DDR4-3600,2 x 16 GB,Black / Silver,0
G.Skill Ripjaws V Series 16 GB (4 x 4 GB) DDR4-3200 CL16,20000,DDR4-3200,4 x 4 GB,Black,0
G.Skill Trident Z Royal 16 GB (2 x 8 GB) DDR4-3200 CL16,24500,DDR4-3200,2 x 8 GB,Silver,0
Crucial Ballistix RGB 32 GB (2 x 16 GB) DDR4-3200 CL16,24500,DDR4-3200,2 x 16 GB,Black,0
Crucial Ballistix Tactical 16 GB (2 x 8 GB) DDR3-1600 CL8,17500,DDR3-1600,2 x 8 GB,Black,0
Patriot Signature Premium 16 GB (2 x 8 GB) DDR4-2666 CL19,15000,DDR4-2666,2 x 8 GB,Black,0
G.Skill Trident Z Neo 64 GB (2 x 32 GB) DDR4-3600 CL16,70000,DDR4-3600,2 x 32 GB,Black / Silver,0
G.Skill Aegis 16 GB (2 x 8 GB) DDR4-3200 CL16,18000,DDR4-3200,2 x 8 GB,Red / Black,0
Team T-Force Delta RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,19500,DDR4-3600,2 x 8 GB,White,0
G.Skill Ripjaws Series 8 GB (2 x 4 GB) DDR3-1600 CL9,14000,DDR3-1600,2 x 4 GB,Black / Red,0
G.Skill Trident Z RGB 32 GB (2 x 16 GB) DDR4-3200 CL16,45000,DDR4-3200,2 x 16 GB,Black,0
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3000 CL15,14500,DDR4-3000,2 x 8 GB,Black / Yellow,0
OLOy Blade RGB 16 GB (2 x 8 GB) DDR4-3600 CL14,19500,DDR4-3600,2 x 8 GB,Silver,0
Team T-FORCE VULCAN Z 16 GB (2 x 8 GB) DDR4-3200 CL16,19000,DDR4-3200,2 x 8 GB,Black,0
Team T-Force Delta RGB 32 GB (2 x 16 GB) DDR4-3200 CL16,27500,DDR4-3200,2 x 16 GB,Black,0
Corsair Dominator Platinum RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,24000,DDR4-3600,2 x 8 GB,Black,0
GALAX HOF 16 GB (2 x 8 GB) DDR4-4000 CL19,18000,DDR4-4000,2 x 8 GB,Black,0
G.Skill Ripjaws X Series 8 GB (2 x 4 GB) DDR3-1600 CL9,7600,DDR3-1600,2 x 4 GB,Black / Red,0
Corsair Vengeance 16 GB (4 x 4 GB) DDR3-1600 CL9,21000,DDR3-1600,4 x 4 GB,Black / Blue,0
Corsair Vengeance RGB Pro 64 GB (2 x 32 GB) DDR4-3200 CL16,56000,DDR4-3200,2 x 32 GB,Black,0
G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,25000,DDR4-3200,2 x 8 GB,Black,0
Corsair Dominator Platinum RGB 32 GB (4 x 8 GB) DDR4-3200 CL16,54000,DDR4-3200,4 x 8 GB,Black,0
Silicon Power GAMING 32 GB (2 x 16 GB) DDR4-3200 CL16,16000,DDR4-3200,2 x 16 GB,Black,0
G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,30000,DDR4-3600,2 x 8 GB,Black,0
Corsair Vengeance LPX 32 GB (4 x 8 GB) DDR4-2133 CL15,32500,DDR4-2133,4 x 8 GB,Black,0
Corsair Vengeance RGB Pro SL 32 GB (2 x 16 GB) DDR4-3200 CL16,27500,DDR4-3200,2 x 16 GB,Black,0
G.Skill Trident Z Neo 16 GB (2 x 8 GB) DDR4-3600 CL14,20500,DDR4-3600,2 x 8 GB,Black / Silver,0
Crucial CT2K8G4SFS832A 16 GB (2 x 8 GB) DDR4-3200 CL22,18000,DDR4-3200,2 x 8 GB,Green / Black,0
OLOy Blade RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,17000,DDR4-3200,2 x 8 GB,Black,0
G.Skill Trident Z Neo 32 GB (2 x 16 GB) DDR4-3600 CL14,30000,DDR4-3600,2 x 16 GB,Black / Silver,0
G.Skill Trident Z RGB 64 GB (2 x 32 GB) DDR4-3600 CL18,67000,DDR4-3600,2 x 32 GB,Black,0
G.Skill Trident Z Royal 32 GB (2 x 16 GB) DDR4-3600 CL16,50000,DDR4-3600,2 x 16 GB,Silver,0
Team T-Force XTREEM ARGB 32 GB (2 x 16 GB) DDR4-3600 CL18,31000,DDR4-3600,2 x 16 GB,White,0
ADATA XPG SPECTRIX D60G 16 GB (2 x 8 GB) DDR4-3600 CL18,28000,DDR4-3600,2 x 8 GB,Black,0
G.Skill Trident Z RGB 32 GB (2 x 16 GB) DDR4-3600 CL18,43500,DDR4-3600,2 x 16 GB,Black,0
Crucial Ballistix Elite 16 GB (2 x 8 GB) DDR4-4000 CL18,23000,DDR4-4000,2 x 8 GB,Black,0
Corsair Vengeance RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,22000,DDR4-3600,2 x 8 GB,Black,0
Corsair Dominator Platinum RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,21000,DDR4-3200,2 x 8 GB,White,0
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3000 CL16,14000,DDR4-3000,2 x 8 GB,Black,0
Kingston FURY 16 GB (2 x 8 GB) DDR4-2400 CL15,17500,DDR4-2400,2 x 8 GB,Black,0
Team T-FORCE VULCAN Z 32 GB (2 x 16 GB) DDR4-3200 CL16,29000,DDR4-3200,2 x 16 GB,Black,0
Crucial Ballistix Sport LT 16 GB (2 x 8 GB) DDR4-2400 CL16,28000,DDR4-2400,2 x 8 GB,Black,0
Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3200 CL16,25000,DDR4-3200,2 x 16 GB,Black,0
ADATA XPG SPECTRIX D60G 16 GB (2 x 8 GB) DDR4-3000 CL16,22500,DDR4-3000,2 x 8 GB,Black,0
G.Skill Aegis 8 GB (1 x 8 GB) DDR4-3000 CL16,8500,DDR4-3000,1 x 8 GB,Black / Red,0
G.Skill Trident Z Royal 32 GB (2 x 16 GB) DDR4-3200 CL16,46000,DDR4-3200,2 x 16 GB,Silver,0
Team Vulcan Z 16 GB (2 x 8 GB) DDR4-3600 CL18,17500,DDR4-3600,2 x 8 GB,Black,0
Corsair Vengeance RGB Pro SL 32 GB (2 x 16 GB) DDR4-3600 CL18,29000,DDR4-3600,2 x 16 GB,White / Black,0
G.Skill Ripjaws V 32 GB (2 x 16 GB) DDR4-3600 CL18,36500,DDR4-3600,2 x 16 GB,Black,0
G.Skill Ripjaws V 32 GB (2 x 16 GB) DDR4-3600 CL16,35000,DDR4-3600,2 x 16 GB,Black,0
Corsair Vengeance LPX 32 GB (4 x 8 GB) DDR4-3200 CL16,40000,DDR4-3200,4 x 8 GB,Black / Yellow,0
Corsair Dominator Platinum RGB 32 GB (4 x 8 GB) DDR4-3600 CL16,59500,DDR4-3600,4 x 8 GB,Black,0
G.Skill Trident Z 16 GB (2 x 8 GB) DDR4-3600 CL15,21000,DDR4-3600,2 x 8 GB,Black,0
G.Skill Trident Z Royal 16 GB (2 x 8 GB) DDR4-4400 CL18,29500,DDR4-4400,2 x 8 GB,Silver,0
Kingston HyperX Fury 8 GB (1 x 8 GB) DDR4-2666 CL16,9300,DDR4-2666,1 x 8 GB,Black,0
G.Skill Trident Z RGB 64 GB (4 x 16 GB) DDR4-3600 CL17,69000,DDR4-3600,4 x 16 GB,Black,0
Crucial Ballistix Sport 16 GB (2 x 8 GB) DDR3-1600 CL9,23500,DDR3-1600,2 x 8 GB,Black,0
Corsair Vengeance LPX 64 GB (2 x 32 GB) DDR4-3600 CL18,55000,DDR4-3600,2 x 32 GB,Black,0
Corsair Vengeance LPX 8 GB (1 x 8 GB) DDR4-2400 CL16,10000,DDR4-2400,1 x 8 GB,Black / Yellow,0
Patriot Viper Steel 16 GB (2 x 8 GB) DDR4-3000 CL16,14500,DDR4-3000,2 x 8 GB,Silver / Black,0
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-2400 CL16,15000,DDR4-2400,2 x 8 GB,Black / Yellow,0
Team T-Create Expert 32 GB (2 x 16 GB) DDR4-3600 CL18,27000,DDR4-3600,2 x 16 GB,Black,0
Crucial Ballistix 16 GB (2 x 8 GB) DDR4-3200 CL16,19500,DDR4-3200,2 x 8 GB,Black,0
G.Skill Trident Z 16 GB (2 x 8 GB) DDR4-3200 CL14,18500,DDR4-3200,2 x 8 GB,Silver / White,0
G.Skill Trident Z 32 GB (2 x 16 GB) DDR4-3200 CL14,39000,DDR4-3200,2 x 16 GB,Silver / White,0
Corsair Vengeance RGB RS 16 GB (2 x 8 GB) DDR4-3200 CL16,14500,DDR4-3200,2 x 8 GB,Black / Gray,0
Crucial CT2K16G4DFD8266 32 GB (2 x 16 GB) DDR4-2666 CL19,33500,DDR4-2666,2 x 16 GB,Black,0
Team T-FORCE VULCAN Z 32 GB (2 x 16 GB) DDR4-3600 CL18,30000,DDR4-3600,2 x 16 GB,Black,0
Corsair Vengeance LPX 16 GB (1 x 16 GB) DDR4-3200 CL16,18000,DDR4-3200,1 x 16 GB,Black / Yellow,0
G.Skill Trident Z Neo 32 GB (4 x 8 GB) DDR4-3000 CL16,49000,DDR4-3000,4 x 8 GB,Silver / Black,0
Team T-Force XTREEM ARGB 32 GB (2 x 16 GB) DDR4-4000 CL18,34000,DDR4-4000,2 x 16 GB,White,0
Team T-Force XTREEM ARGB 16 GB (2 x 8 GB) DDR4-3600 CL14,19500,DDR4-3600,2 x 8 GB,Black,0
Corsair Dominator Platinum RGB 32 GB (2 x 16 GB) DDR4-4000 CL19,48000,DDR4-4000,2 x 16 GB,White,0
Patriot Viper Steel 16 GB (2 x 8 GB) DDR4-4400 CL19,20000,DDR4-4400,2 x 8 GB,Silver / Black,0
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-2666 CL16,13500,DDR4-2666,2 x 8 GB,Black / Yellow,0
Corsair Dominator Platinum RGB 32 GB (2 x 16 GB) DDR4-3466 CL16,35000,DDR4-3466,2 x 16 GB,Black,0
ADATA XPG GAMMIX D10 16 GB (2 x 8 GB) DDR4-3000 CL16,14000,DDR4-3000,2 x 8 GB,Black,0
Crucial Ballistix 64 GB (2 x 32 GB) DDR4-3600 CL16,54000,DDR4-3600,2 x 32 GB,Black,0
G.Skill Ripjaws V Series 8 GB (2 x 4 GB) DDR4-2400 CL15,9700,DDR4-2400,2 x 4 GB,Black / Red,0
Team T-Force XTREEM ARGB 32 GB (2 x 16 GB) DDR4-3200 CL16,30000,DDR4-3200,2 x 16 GB,White,0
Corsair Vengeance RGB RT 32 GB (2 x 16 GB) DDR4-3200 CL16,28000,DDR4-3200,2 x 16 GB,White / Black,0
G.Skill Trident Z Neo 32 GB (2 x 16 GB) DDR4-3600 CL18,34000,DDR4-3600,2 x 16 GB,Black / Silver,0
G.Skill Ripjaws V Series 32 GB (2 x 16 GB) DDR4-3200 CL16,27500,DDR4-3200,2 x 16 GB,Black,0
Team T-FORCE VULCAN Z 16 GB (2 x 8 GB) DDR4-3000 CL16,18000,DDR4-3000,2 x 8 GB,Silver / Black,0
G.Skill Ripjaws V Series 16 GB (2 x 8 GB) DDR4-3600 CL16,20500,DDR4-3600,2 x 8 GB,Black,0
Crucial Ballistix 16 GB (2 x 8 GB) DDR4-3000 CL15,19000,DDR4-3000,2 x 8 GB,White,0
G.Skill Trident Z 32 GB (2 x 16 GB) DDR4-3200 CL16,39500,DDR4-3200,2 x 16 GB,Black / White,0
G.Skill Trident Z RGB 64 GB (2 x 32 GB) DDR4-4000 CL18,72000,DDR4-4000,2 x 32 GB,Black,0
Corsair Vengeance RGB Pro SL 32 GB (4 x 8 GB) DDR4-3600 CL18,29000,DDR4-3600,4 x 8 GB,Black,0
Team T-FORCE XCALIBUR RGB SE 16 GB (2 x 8 GB) DDR4-3600 CL18,15200,DDR4-3600,2 x 8 GB,Black,0
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3600 CL16,18500,DDR4-3600,2 x 8 GB,Black / Yellow,0
